Sl. No.,State/UT,2021-22,2022-23,2023-24
1,Andaman and Nicobar Islands,56.96,52.46,56.18
2,Andhra Pradesh,4672.54,6078.76,5954.08
3,Arunachal Pradesh,146.45,622.95,779.13
4,Assam,1258.57,1306.81,1222.93
5,Bihar,956.3,8298.99,7163.81
6,Chandigarh,12.84,4.15,3.9
7,Chattisgarh,1619.06,3506.32,2974.64
8,Dadra and Nagar Haveli and Daman and Diu,7.05,57.55,57.99
9,Delhi,191.15,164.7,335.41
10,Goa,168.97,153.05,145.25
11,Gujarat,2076.8,4071.68,3778.31
12,Haryana,476.86,533.41,406.56
13,Himachal Pradesh,286.28,1361,1416.5
14,Jammu and Kashmir,805.68,792,882
15,Jharkhand,2620.26,1955.15,1958.53
16,Karnataka,4097.12,4409.74,2452.35
17,Kerala,4250.92,7662.02,5249.09
18,Ladakh,104.45,273.36,166.43
19,Lakshadweep,24.72,21.21,22.28
20,Madhya Pradesh,1402.09,4753.73,2090.26
21,Maharashtra,976.63,5311.21,5147.52
22,Manipur,623.31,722.21,724.3
23,Meghalaya,416.03,407.6,370.59
24,Mizoram,332.26,176.24,176.24
25,Nagaland,305.43,312.26,310.88
26,Odisha,2158.89,7442.69,6067.91
27,Puducherry,126.82,113.1,135.94
28,Punjab,705.42,1405.93,1796.11
29,Rajasthan,4603.49,23542.92,23542.92
30,Sikkim,156.78,117.04,85.55
31,Tamil Nadu,4004.7,8466.91,10031.16
32,Telangana,3139.44,5272.72,5145
33,Tripura,383.86,496.53,578.92
34,Uttar Pradesh,13196.18,13607.82,18998.7
35,Uttarakhand,597.75,1127.33,1167.37
36,West Bengal,3697.33,3868.71,5428.71
