Sl.No.,States/Union Territories,Percentage of women (15-49 years) and men (15-54 years/15-49 years) who Consumed Alcohol - Women,Percentage of women (15-49 years) and men (15-54 years/15-49 years) who Consumed Alcohol - Men (15-54 yrs.),Percentage of women (15-49 years) and men (15-54 years/15-49 years) who Consumed Alcohol - Men (15-49 yrs.),Percentage of population (men (15-49 years) & women (15-49 years)) who drink alcohol about once a week out of total population (men (15-49 years) & women (15-49 years)) who drink alcohol - Women,Percentage of population (men (15-49 years) & women (15-49 years)) who drink alcohol about once a week out of total population (men (15-49 years) & women (15-49 years)) who drink alcohol - Men,Prevalence of current tobacco use among women and men aged 15-49 years. - Women,Prevalence of current tobacco use among women and men aged 15-49 years. - Men,Note of Percentage of population (men (15-49 years) & women (15-49 years)) who drink alcohol about once a week out of total population (men (15-49 years) & women (15-49 years)) who drink alcohol - Women,Note of Percentage of population (men (15-49 years) & women (15-49 years)) who drink alcohol about once a week out of total population (men (15-49 years) & women (15-49 years)) who drink alcohol - Men
NA,India,1.2,29.5,29.2,35,40.7,6.8,44.5,NA,NA
1,Andhra Pradesh,0.4,35.2,34.9,39.7,53.1,2.3,26.8,(),()
2,Assam ,26.3,59.4,35.6,44.8,51.9,17.7,60,NA,NA
3,Bihar ,6.9,36,28.9,45.7,36.2,19.7,63.9,NA,NA
4,Chattisgarh ,0.2,29.2,52.7,36.8,35.5,2.8,50.1,NA,NA
5,Gujarat,5,53.4,11.1,16.3,24.9,21.6,55.2,NA,NA
6,Haryana,4.2,44.3,24.5,19.5,42.3,1.9,20.8,(),NA
7,Jharkhand ,0.3,11,39.3,45.2,33.8,7.4,51.4,NA,NA
8,Karnataka,0.1,25,29.2,13.8,51.9,1.6,35.8,NA,NA
9,Kerala,0.3,41.2,37,7,39.4,0.5,40.5,NA,NA
10,Madhya Pradesh ,0.1,11.1,29.6,41.2,40.1,2.8,38.2,NA,NA
11,Maharashtra,4.1,39.5,20.5,29.3,38,5.8,48.6,NA,NA
12,Odisha ,1,29.5,39.3,44.8,41.8,4.2,34.3,NA,NA
13,Punjab,1.6,37.4,34,NA,48.4,0.8,25.7,NA,NA
14,Rajasthan ,1.6,29.6,15.9,22.1,30.1,10.4,59.5,(),NA
15,Tamil Nadu,0.2,20.8,46.7,14.8,49.6,5.8,36.5,NA,NA
16,Telangana,6.1,52.8,53.8,28.5,45.5,48.8,70.6,NA,NA
17,Uttar Pradesh ,2.1,44.9,22.1,37.7,29.2,32.3,72.2,NA,NA
18,West Bengal,4.9,49.2,28.7,40.8,32.5,59.2,80.4,NA,NA
19,Arunachal Pradesh,3.3,37.7,59,45.2,55.1,27.5,69.4,NA,NA
20,Delhi,2.4,39.5,24.7,NA,NA,17.3,55.9,NA,NA
21,Goa,0.1,35,44.7,28.2,59.3,0.1,19.2,NA,NA
22,Himachal Pradesh,0.1,15.9,39.7,6,39.1,6.3,46.9,(),NA
23,Jammu & Kashmir,23,51.4,10.5,43.4,45.1,7.3,40.3,NA,NA
24,Manipur,0.4,47.2,52.6,21.3,40.1,2.2,31.7,NA,NA
25,Meghalaya,8.7,54.6,44.6,25.1,42.4,2.8,28.3,NA,NA
26,Mizoram,4.8,56.8,49.5,20.3,41.2,42.2,67.8,NA,NA
27,Nagaland,0.1,22.3,38.8,65.5,46.4,1.3,17.6,NA,NA
28,Sikkim,0.3,36.1,51.2,33.9,43.5,2.9,43.7,NA,NA
29,Tripura,0.8,28.2,57.6,50.8,47.1,8.7,58.8,NA,NA
30,Uttarakhand ,2.5,50.5,35.2,58.6,40.3,25.1,61.6,(),NA
31,Andaman & Nicobar Islands,0.5,39.4,51.7,NA,NA,0.4,22.5,NA,NA
32,Chandigarh,0,34.2,39.3,NA,NA,2.1,39.9,NA,NA
33,Dadra & Nagar Haveli,1.4,35.8,33.8,NA,NA,0.5,32.2,NA,NA
34,Daman & Diu,0.6,25.2,35.8,NA,NA,1.6,30.4,NA,NA
35,Lakshadweep,0,4.9,5.4,NA,NA,16.4,24.7,NA,NA
36,Puducherry,0.6,41.2,41,NA,NA,1,14.4,NA,NA
