S.NO,Divisional Office,2018 to 2019,2017 to 2018,2016 to 2017
1,CBE/North,329,319,323
2,CBE/South,342,338,323
3,Sulur,553,531,521
4,Tirupur,332,305,286
5,Salem,236,226,231
6,Namakkal,334,317,314
7,Erode,380,358,356
8,Palladam,288,281,266
9,Madurai,282,264,260
10,Dindigul,318,302,304
11,Virudhunagar,269,259,262
12,Thirunelveli,432,405,395
13,Ambattur,359,337,348
14,Chennai/North,277,283,272
15,Chennai/South,369,355,340
16,Sriperumpudur,538,497,501
17,Tambaram,472,421,410
18,Ponneri,371,356,339
19,Vellore,378,367,364
20,Cuddalore,230,231,214
21,Trichy,354,351,333
22,Krishnagiri,410,386,366
23,Chengalpattu,248,242,240
Total,Total,8101,7731,7568
